panel_id,metric_output_id,profile,d_ag,d_acc,d_ag_adjusted_p_value,d_acc_adjusted_p_value
d1_a,rmse,Unresolved,0.00046084718475047914,0.0009374999999999245,1.0,1.0
d1_a,mae,OC +,0.0053204743353389705,0.011510416666666634,1.0,0.0015599844001559983
d1_a,nmse,AG +,0.019717879152256437,-0.0004947916666665497,0.014939850601493984,1.0
d1_a,sam,Unresolved,-0.004897855123165651,-1.1102230246251565e-16,1.0,1.0
d1_a,pearson_r,Unresolved,0.0016709518229997278,0.0013541666666665453,1.0,1.0
d1_a,wasserstein_1_cm1,Both +,0.09877147421468865,0.06200520833333345,0.004599954000459995,0.0006499935000649994
d1_a,is_like_structure_to_noise,Both −,-0.24238371334119252,-0.4714583333333333,0.0042899571004289955,0.00023999760002399976
d1_a,precision,Both −,-0.2188860225301678,-0.15531250000000008,0.00029999700002999975,0.00023999760002399976
d1_a,recall,Both −,-0.21657882739449769,-0.14947916666666672,0.00023999760002399976,0.00023999760002399976
d1_a,f1,Both −,-0.222798037055835,-0.1507291666666669,0.00023999760002399976,0.00023999760002399976
d1_a,artifact_peak_ratio,Both −,-0.2188860225301678,-0.15531250000000008,0.00029999700002999975,0.00023999760002399976
d1_a,missing_peak_ratio,Both −,-0.21657882739449769,-0.14947916666666672,0.00023999760002399976,0.00023999760002399976
d2_5_a,rmse,Unresolved,-0.0008083140160599911,0.0005729166666667007,1.0,1.0
d2_5_a,mae,OC +,0.006180259702540464,0.010651041666666528,1.0,0.0021999780002199976
d2_5_a,nmse,AG +,0.018722583092889114,-0.002291666666667025,0.0021999780002199976,0.1860781392186078
d2_5_a,sam,Unresolved,-0.01096949671260608,-0.002213541666666763,0.5980740192598074,1.0
d2_5_a,pearson_r,Unresolved,0.00077986995493734,-0.0010156250000001865,1.0,1.0
d2_5_a,wasserstein_1_cm1,Both +,0.07488729587013838,0.03794270833333324,0.0006499935000649994,0.022949770502294978
d2_5_a,is_like_structure_to_noise,Both −,-0.26366534070030656,-0.4971614583333334,0.0014399856001439987,0.00023999760002399976
d2_5_a,precision,Both −,-0.29819511508671825,-0.17627604166666688,0.00023999760002399976,0.00023999760002399976
d2_5_a,recall,Both −,-0.2997055214641764,-0.16966145833333346,0.00023999760002399976,0.00023999760002399976
d2_5_a,f1,Both −,-0.30807808688741034,-0.17205729166666683,0.00023999760002399976,0.00023999760002399976
d2_5_a,artifact_peak_ratio,Both −,-0.29819511508671825,-0.17627604166666688,0.00023999760002399976,0.00023999760002399976
d2_5_a,missing_peak_ratio,Both −,-0.2997055214641764,-0.16966145833333346,0.00023999760002399976,0.00023999760002399976
d2_10_a,rmse,Unresolved,-0.0001222173358820522,0.0011197916666668695,1.0,0.900650993490065
d2_10_a,mae,OC +,0.007031032427427308,0.011979166666666985,0.3264767352326477,0.0003599964000359997
d2_10_a,nmse,AG +,0.023425785792813347,-0.001822916666666563,0.0006999930000699993,0.8663113368866311
d2_10_a,sam,Unresolved,-0.0066472039465849675,-0.0014062499999998312,1.0,1.0
d2_10_a,pearson_r,Unresolved,0.001378958110474643,0.0004166666666668428,1.0,1.0
d2_10_a,wasserstein_1_cm1,Both +,0.11366762874804331,0.049348958333333415,0.0002599974000259998,0.002159978400215998
d2_10_a,is_like_structure_to_noise,Both −,-0.2616275379923792,-0.4932291666666665,0.0006599934000659993,0.00023999760002399976
d2_10_a,precision,Both −,-0.2918558881516194,-0.1761979166666664,0.00023999760002399976,0.00023999760002399976
d2_10_a,recall,Both −,-0.291457942631719,-0.16927083333333326,0.00023999760002399976,0.00023999760002399976
d2_10_a,f1,Both −,-0.30081191229959675,-0.17166666666666652,0.00023999760002399976,0.00023999760002399976
d2_10_a,artifact_peak_ratio,Both −,-0.2918558881516194,-0.1761979166666664,0.00023999760002399976,0.00023999760002399976
d2_10_a,missing_peak_ratio,Both −,-0.291457942631719,-0.16927083333333326,0.00023999760002399976,0.00023999760002399976
d2_20_a,rmse,Unresolved,-2.713807416718228e-05,0.0008854166666666385,1.0,1.0
d2_20_a,mae,OC +,0.007176518561152145,0.011874999999999969,0.12207877921220787,0.0008399916000839992
d2_20_a,nmse,AG +,0.02539986942944883,-0.002213541666666874,0.0008399916000839992,0.15273847261527385
d2_20_a,sam,Unresolved,-0.005840206909012741,-0.001770833333333388,1.0,1.0
d2_20_a,pearson_r,Unresolved,0.0019332925912988463,0.00015624999999963585,1.0,1.0
d2_20_a,wasserstein_1_cm1,Both +,0.126211334894523,0.0632031249999997,0.0006499935000649994,0.0008399916000839992
d2_20_a,is_like_structure_to_noise,Both −,-0.24749206843057395,-0.47526041666666674,0.0008399916000839992,0.00023999760002399976
d2_20_a,precision,Both −,-0.27714298862457665,-0.1610156250000001,0.00023999760002399976,0.00023999760002399976
d2_20_a,recall,Both −,-0.27690428233965947,-0.15419270833333343,0.00023999760002399976,0.00023999760002399976
d2_20_a,f1,Both −,-0.2849957971030296,-0.15648437500000023,0.00023999760002399976,0.00023999760002399976
d2_20_a,artifact_peak_ratio,Both −,-0.27714298862457665,-0.1610156250000001,0.00023999760002399976,0.00023999760002399976
d2_20_a,missing_peak_ratio,Both −,-0.27690428233965947,-0.15419270833333343,0.00023999760002399976,0.00023999760002399976
d2_5_b,rmse,Unresolved,-0.0003983657308892219,-0.00018229166666672292,1.0,1.0
d2_5_b,mae,Unresolved,-0.0036448128845483763,-0.0004687500000002398,1.0,1.0
d2_5_b,nmse,OC −,0.006290449851457963,-0.0014843750000000933,0.8731712682873172,0.03189968100318997
d2_5_b,sam,Unresolved,0.0031131151643430666,-0.0014583333333333393,1.0,1.0
d2_5_b,pearson_r,Unresolved,0.0012026018980987874,-0.001822916666666785,1.0,1.0
d2_5_b,wasserstein_1_cm1,Both −,-0.06956536267508787,-0.06539062500000026,0.0031899681003189967,0.00023999760002399976
d2_5_b,is_like_structure_to_noise,Both −,-0.2850564727085618,-0.4287500000000001,0.0009599904000959991,0.00023999760002399976
d2_5_b,precision,Both −,-0.24375425388166833,-0.1344270833333333,0.00023999760002399976,0.00023999760002399976
d2_5_b,recall,Both −,-0.2481881410610221,-0.12968750000000007,0.00023999760002399976,0.00023999760002399976
d2_5_b,f1,Both −,-0.2423461406571364,-0.1301041666666669,0.00023999760002399976,0.00023999760002399976
d2_5_b,artifact_peak_ratio,Both −,-0.24375425388166833,-0.1344270833333333,0.00023999760002399976,0.00023999760002399976
d2_5_b,missing_peak_ratio,Both −,-0.2481881410610221,-0.12968750000000007,0.00023999760002399976,0.00023999760002399976
d2_10_b,rmse,Unresolved,-0.0004919869732168958,-0.00013020833333343695,1.0,1.0
d2_10_b,mae,Unresolved,-0.004537719488209857,-0.0013020833333332593,0.9090909090909092,0.978390216097839
d2_10_b,nmse,Unresolved,0.013398889512872214,-0.0009895833333332105,0.5366646333536664,0.1036989630103699
d2_10_b,sam,Unresolved,0.012892781804878295,-0.0014062499999998312,0.5366646333536664,1.0
