cell_id,perturbation_id,alpha,summary_type,g_harm,g_harm_lower,g_harm_upper,raw_p_value,adjusted_p_value,rank,family_size,family_id,favorable,rejected,direction,state,classification
d5,p08,0.05,alpha_specific,0.0001951018470842255,-0.007350985203408111,0.007715737619371981,0.002769972300276997,0.06370936290637093,7,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected
d5,p08,0.1,alpha_specific,-0.0029503210119950197,-0.012209377443408274,0.006090852470257751,0.002769972300276997,0.06370936290637093,7,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected
d5,p08,0.2,alpha_specific,-0.018495719486908913,-0.03050102318549456,-0.006011355975563023,0.002769972300276997,0.06370936290637093,7,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected
d5,p08,0.3,alpha_specific,-0.019844656078136253,-0.033177421269381606,-0.006699412208773448,0.002769972300276997,0.06370936290637093,7,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected
d5,p08,0.4,alpha_specific,-0.02140375532446017,-0.03578671399981972,-0.007222665265066147,0.002769972300276997,0.06370936290637093,7,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected
d5,p08,0.5,alpha_specific,-0.020188381531993864,-0.03539467538090886,-0.0053392702704376785,0.002769972300276997,0.06370936290637093,7,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected
d5,p08,0.65,alpha_specific,-0.013448669946467304,-0.028867515968286885,0.001710083846647719,0.002769972300276997,0.06370936290637093,7,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected
d5,p08,0.8,alpha_specific,-0.007704465138385844,-0.02284756329084523,0.006536691710149837,0.002769972300276997,0.06370936290637093,7,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected
d5,p08,,integrated,-0.012980108333907897,-0.02143153424575506,-0.004244208810391354,0.002769972300276997,0.06370936290637093,7,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected
d5,p09,0.05,alpha_specific,-0.015363833425507433,-0.02155260518971973,-0.009454980897712177,9.99990000099999e-06,0.00028999710002899974,1,29,d5_full_domain_core:protocol_ab,False,True,adverse,tested,amplification_by_b_rejected
d5,p09,0.1,alpha_specific,-0.01803269743798378,-0.024927133459622438,-0.01130923775196903,9.99990000099999e-06,0.00028999710002899974,1,29,d5_full_domain_core:protocol_ab,False,True,adverse,tested,amplification_by_b_rejected
d5,p09,0.2,alpha_specific,-0.029184060351461233,-0.038539256366899526,-0.019894020769571433,9.99990000099999e-06,0.00028999710002899974,1,29,d5_full_domain_core:protocol_ab,False,True,adverse,tested,amplification_by_b_rejected
d5,p09,0.3,alpha_specific,-0.0410204129367125,-0.051518409290986396,-0.031163405345674067,9.99990000099999e-06,0.00028999710002899974,1,29,d5_full_domain_core:protocol_ab,False,True,adverse,tested,amplification_by_b_rejected
d5,p09,0.4,alpha_specific,-0.05039863464973598,-0.06180000942115479,-0.03946509091332881,9.99990000099999e-06,0.00028999710002899974,1,29,d5_full_domain_core:protocol_ab,False,True,adverse,tested,amplification_by_b_rejected
d5,p09,0.5,alpha_specific,-0.057528963531166176,-0.0694564065502942,-0.04574815638554624,9.99990000099999e-06,0.00028999710002899974,1,29,d5_full_domain_core:protocol_ab,False,True,adverse,tested,amplification_by_b_rejected
d5,p09,0.65,alpha_specific,-0.07134107734327998,-0.08408951853335112,-0.05774528752777652,9.99990000099999e-06,0.00028999710002899974,1,29,d5_full_domain_core:protocol_ab,False,True,adverse,tested,amplification_by_b_rejected
d5,p09,0.8,alpha_specific,-0.08727212581838133,-0.10135971855685509,-0.07186703674038476,9.99990000099999e-06,0.00028999710002899974,1,29,d5_full_domain_core:protocol_ab,False,True,adverse,tested,amplification_by_b_rejected
