cell_id,protocol_id,perturbation_id,alpha,metric_output_id,protocol_a_mse_x,metric_x,x_render_value,downstream_harm
d5,a,p08,0.05,mse,128768161.97776274,128768161.97776274,128768161.97776274,0.015934707729861913
d5,a,p08,0.1,mse,515072647.9110509,515072647.9110509,515072647.9110509,0.02868995704898789
d5,a,p08,0.2,mse,2060290591.6442037,2060290591.6442037,2060290591.6442037,0.05167306384266737
d5,a,p08,0.3,mse,4635653831.199457,4635653831.199457,4635653831.199457,0.07361494966120517
d5,a,p08,0.4,mse,8241162366.576815,8241162366.576815,8241162366.576815,0.09426731491709466
d5,a,p08,0.5,mse,12876816197.776274,12876816197.776274,12876816197.776274,0.11168548167446846
d5,a,p08,0.65,mse,21761819374.2419,21761819374.2419,21761819374.2419,0.1341891527464215
d5,a,p08,0.8,mse,32964649466.30726,32964649466.30726,32964649466.30726,0.1555016161844356
d5,a,p09,0.05,mse,126123579.48427865,126123579.48427865,126123579.48427865,0.005311347161567426
d5,a,p09,0.1,mse,504494317.9371146,504494317.9371146,504494317.9371146,0.0074801401893912906
d5,a,p09,0.2,mse,2017977271.7484584,2017977271.7484584,2017977271.7484584,0.00930052571021734
d5,a,p09,0.3,mse,4540448861.43403,4540448861.43403,4540448861.43403,0.010972320223421544
d5,a,p09,0.4,mse,8071909086.993834,8071909086.993834,8071909086.993834,0.016106979983631965
d5,a,p09,0.5,mse,12612357948.427862,12612357948.427862,12612357948.427862,0.021358361005938097
d5,a,p09,0.65,mse,21314884932.843086,21314884932.843086,21314884932.843086,0.030123011675875108
d5,a,p09,0.8,mse,32287636347.975334,32287636347.975334,32287636347.975334,0.03190552105750344
d5,a,p10,0.05,mse,128768161.97776273,128768161.97776273,128768161.97776273,0.01234873382450475
d5,a,p10,0.1,mse,515072647.9110509,515072647.9110509,515072647.9110509,0.02213621954811382
d5,a,p10,0.2,mse,2060290591.6442037,2060290591.6442037,2060290591.6442037,0.03911669787220448
d5,a,p10,0.3,mse,4635653831.199457,4635653831.199457,4635653831.199457,0.05362823463043728
