panel_id,metric_output_id,ag_decision,concordance_decision,joint_decision
d1_a,rmse,not_rejected,not_rejected,not_joint
d1_a,mae,not_rejected,favorable,not_joint
d1_a,sam,not_rejected,not_rejected,not_joint
d1_a,pearson_r,not_rejected,not_rejected,not_joint
d1_a,nmse,favorable,not_rejected,not_joint
d1_a,wasserstein_1_cm1,favorable,favorable,favorable
d1_a,is_like_structure_to_noise,adverse,adverse,adverse
d1_a,precision,adverse,adverse,adverse
d1_a,recall,adverse,adverse,adverse
d1_a,f1,adverse,adverse,adverse
d1_a,artifact_peak_ratio,adverse,adverse,adverse
d1_a,missing_peak_ratio,adverse,adverse,adverse
d2_5_a,rmse,not_rejected,not_rejected,not_joint
d2_5_a,mae,not_rejected,favorable,not_joint
d2_5_a,sam,not_rejected,not_rejected,not_joint
d2_5_a,pearson_r,not_rejected,not_rejected,not_joint
d2_5_a,nmse,favorable,not_rejected,not_joint
d2_5_a,wasserstein_1_cm1,favorable,favorable,favorable
d2_5_a,is_like_structure_to_noise,adverse,adverse,adverse
d2_5_a,precision,adverse,adverse,adverse
d2_5_a,recall,adverse,adverse,adverse
d2_5_a,f1,adverse,adverse,adverse
d2_5_a,artifact_peak_ratio,adverse,adverse,adverse
d2_5_a,missing_peak_ratio,adverse,adverse,adverse
d2_5_b,rmse,not_rejected,not_rejected,not_joint
d2_5_b,mae,not_rejected,not_rejected,not_joint
d2_5_b,sam,not_rejected,not_rejected,not_joint
d2_5_b,pearson_r,not_rejected,not_rejected,not_joint
d2_5_b,nmse,not_rejected,adverse,not_joint
d2_5_b,wasserstein_1_cm1,adverse,adverse,adverse
d2_5_b,is_like_structure_to_noise,adverse,adverse,adverse
d2_5_b,precision,adverse,adverse,adverse
d2_5_b,recall,adverse,adverse,adverse
d2_5_b,f1,adverse,adverse,adverse
d2_5_b,artifact_peak_ratio,adverse,adverse,adverse
d2_5_b,missing_peak_ratio,adverse,adverse,adverse
d2_10_a,rmse,not_rejected,not_rejected,not_joint
d2_10_a,mae,not_rejected,favorable,not_joint
d2_10_a,sam,not_rejected,not_rejected,not_joint
d2_10_a,pearson_r,not_rejected,not_rejected,not_joint
d2_10_a,nmse,favorable,not_rejected,not_joint
d2_10_a,wasserstein_1_cm1,favorable,favorable,favorable
d2_10_a,is_like_structure_to_noise,adverse,adverse,adverse
d2_10_a,precision,adverse,adverse,adverse
d2_10_a,recall,adverse,adverse,adverse
d2_10_a,f1,adverse,adverse,adverse
d2_10_a,artifact_peak_ratio,adverse,adverse,adverse
d2_10_a,missing_peak_ratio,adverse,adverse,adverse
d2_10_b,rmse,not_rejected,not_rejected,not_joint
d2_10_b,mae,not_rejected,not_rejected,not_joint
d2_10_b,sam,not_rejected,not_rejected,not_joint
d2_10_b,pearson_r,not_rejected,not_rejected,not_joint
d2_10_b,nmse,not_rejected,not_rejected,not_joint
d2_10_b,wasserstein_1_cm1,adverse,adverse,adverse
d2_10_b,is_like_structure_to_noise,adverse,adverse,adverse
d2_10_b,precision,adverse,adverse,adverse
d2_10_b,recall,adverse,adverse,adverse
d2_10_b,f1,adverse,adverse,adverse
d2_10_b,artifact_peak_ratio,adverse,adverse,adverse
d2_10_b,missing_peak_ratio,adverse,adverse,adverse
d2_20_a,rmse,not_rejected,not_rejected,not_joint
d2_20_a,mae,not_rejected,favorable,not_joint
d2_20_a,sam,not_rejected,not_rejected,not_joint
d2_20_a,pearson_r,not_rejected,not_rejected,not_joint
d2_20_a,nmse,favorable,not_rejected,not_joint
d2_20_a,wasserstein_1_cm1,favorable,favorable,favorable
d2_20_a,is_like_structure_to_noise,adverse,adverse,adverse
d2_20_a,precision,adverse,adverse,adverse
d2_20_a,recall,adverse,adverse,adverse
d2_20_a,f1,adverse,adverse,adverse
d2_20_a,artifact_peak_ratio,adverse,adverse,adverse
d2_20_a,missing_peak_ratio,adverse,adverse,adverse
d2_20_b,rmse,not_rejected,not_rejected,not_joint
d2_20_b,mae,not_rejected,adverse,not_joint
d2_20_b,sam,not_rejected,not_rejected,not_joint
d2_20_b,pearson_r,not_rejected,not_rejected,not_joint
d2_20_b,nmse,not_rejected,adverse,not_joint
d2_20_b,wasserstein_1_cm1,adverse,adverse,adverse
d2_20_b,is_like_structure_to_noise,adverse,adverse,adverse
d2_20_b,precision,adverse,adverse,adverse
d2_20_b,recall,adverse,adverse,adverse
d2_20_b,f1,adverse,adverse,adverse
d2_20_b,artifact_peak_ratio,adverse,adverse,adverse
d2_20_b,missing_peak_ratio,adverse,adverse,adverse
d4_a,rmse,not_rejected,not_rejected,not_joint
d4_a,mae,not_rejected,adverse,not_joint
d4_a,sam,not_rejected,not_rejected,not_joint
d4_a,pearson_r,favorable,not_rejected,not_joint
d4_a,nmse,favorable,not_rejected,not_joint
d4_a,wasserstein_1_cm1,not_rejected,adverse,not_joint
d4_a,is_like_structure_to_noise,adverse,adverse,adverse
d4_a,precision,adverse,adverse,adverse
d4_a,recall,adverse,adverse,adverse
d4_a,f1,adverse,adverse,adverse
d4_a,artifact_peak_ratio,adverse,adverse,adverse
d4_a,missing_peak_ratio,adverse,adverse,adverse
d4_b,rmse,not_rejected,not_rejected,not_joint
d4_b,mae,adverse,adverse,adverse
d4_b,sam,favorable,not_rejected,not_joint
d4_b,pearson_r,favorable,not_rejected,not_joint
d4_b,nmse,favorable,not_rejected,not_joint
d4_b,wasserstein_1_cm1,adverse,adverse,adverse
d4_b,is_like_structure_to_noise,favorable,favorable,favorable
d4_b,precision,favorable,favorable,favorable
d4_b,recall,favorable,favorable,favorable
d4_b,f1,favorable,favorable,favorable
