cell_id,metric_output_id,delta_ag,delta_ag_lower,delta_ag_upper,delta_acc,delta_acc_lower,delta_acc_upper,i_ag,i_ag_lower,i_ag_upper,i_acc,i_acc_lower,i_acc_upper,i_ag_raw_p_value,i_ag_adjusted_p_value,i_ag_rank,i_ag_family_size,i_ag_family_id,i_ag_favorable,i_ag_rejected,i_ag_direction,i_ag_state,i_ag_glyph,i_acc_raw_p_value,i_acc_adjusted_p_value,i_acc_rank,i_acc_family_size,i_acc_family_id,i_acc_favorable,i_acc_rejected,i_acc_direction,i_acc_state,i_acc_glyph,state
d5,mse,-0.014624577872650904,-0.02133975405894208,-0.00864225515967581,0.03302702826725423,0.026998181672173268,0.038819779047356895,,,,,,,,,,29,d5_full_domain_core:protocol_ab,,,reference,reference_no_interaction,not_rejected,,,,29,d5_full_domain_core:protocol_ab,,,reference,reference_no_interaction,not_rejected,complete
d5,rmse,-0.014684011183797306,-0.021398587664882975,-0.008640334544741488,0.03296507892804701,0.026933880552496313,0.03874630024779744,5.943331114640141e-05,-0.000576179543956695,0.0006778008694795081,-6.194933920722345e-05,-0.00025812224669586047,0.00013881240822312125,0.8749012509874902,1.0,27,29,d5_full_domain_core:protocol_ab,True,False,favorable,tested,not_rejected,0.5429045709542905,1.0,25,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,complete
d5,mae,-0.014568927581360821,-0.02117149229570877,-0.008489834705224615,0.03193717878120417,0.025995434104258596,0.03781685939794389,-5.565029129008317e-05,-0.000773441039417345,0.0005138660539146307,-0.0010898494860500652,-0.0016015338197503891,-0.0005987862518352708,0.8820311796882031,1.0,28,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,6.999930000699993e-05,0.0017499825001749984,5,29,d5_full_domain_core:protocol_ab,False,True,adverse,tested,adverse_rejected,complete
d5,sam,-0.01619470022956997,-0.02389496267275526,-0.009263858647084832,0.0335180341409691,0.027437075532305368,0.03935509590675449,0.0015701223569190657,-0.0011613601724332952,0.004420845524546025,0.000491005873714867,2.2657397205028634e-06,0.0010015429974299548,0.2908870911290887,1.0,22,29,d5_full_domain_core:protocol_ab,True,False,favorable,tested,not_rejected,0.050589494105058946,0.7588424115758842,15,29,d5_full_domain_core:protocol_ab,True,False,favorable,tested,not_rejected,complete
d5,pearson_r,-0.019382048690880768,-0.026858871056177562,-0.011542478976974873,0.033022439427312755,0.02684924513582984,0.03895695668135055,0.004757470818229864,0.0014468095752630764,0.007161195481751545,-4.588839941477296e-06,-0.000743420750734422,0.0007090904919230778,0.0014699853001469984,0.03527964720352796,6,29,d5_full_domain_core:protocol_ab,True,True,favorable,tested,favorable_rejected,0.992950070499295,1.0,29,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,complete
d5,nmse,-0.017237730900980013,-0.024716177995807904,-0.010817522239306536,0.03290657121879581,0.026893842924009217,0.038763451037077526,0.0026131530283291064,-5.261079281029519e-06,0.005271461922799861,-0.0001204570484584222,-0.0004852985040383589,0.00024208998715148072,0.03119968800311997,0.4991950080499195,14,29,d5_full_domain_core:protocol_ab,True,False,favorable,tested,not_rejected,0.5074049259507405,1.0,24,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,complete
d5,wasserstein_1_cm1,-0.0036575234032292445,-0.009373828995584595,0.002497125648648818,0.02570782856093967,0.019592941216960414,0.031759963518722616,-0.01096705446942166,-0.016180526690336903,-0.007034658672482416,-0.007319199706314561,-0.00926263078193847,-0.0054548974394273645,1.999980000199998e-05,0.0005199948000519996,4,29,d5_full_domain_core:protocol_ab,False,True,adverse,tested,adverse_rejected,9.99990000099999e-06,0.00028999710002899974,3,29,d5_full_domain_core:protocol_ab,False,True,adverse,tested,adverse_rejected,complete
d5,is_like_structure_to_noise,-0.015303697895119282,-0.02537055238227881,-0.005922347087808273,0.03684953193832596,0.03028278726137988,0.04360829088656385,0.0006791200224683762,-0.005615544991253767,0.007465103274722726,0.003822503671071731,-0.0022488470539646674,0.010104969713655878,0.8434215657843421,1.0,26,29,d5_full_domain_core:protocol_ab,True,False,favorable,tested,not_rejected,0.2236377636223638,1.0,21,29,d5_full_domain_core:protocol_ab,True,False,favorable,tested,not_rejected,complete
d5,precision,-0.005614778243421277,-0.016094121267759443,0.0024099451813989325,0.029024412628487428,0.024072107883626917,0.03401675500183559,-0.009009799629229629,-0.015212181783539813,0.00034787473117084996,-0.004002615638766804,-0.008881814427312784,0.0009101390418502947,0.02175978240217598,0.3916760832391676,13,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,0.1034689653103469,1.0,17,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,complete
d5,recall,-0.005901711133069504,-0.01581724554582674,0.002606740774058205,0.029331864904552085,0.024427857700073257,0.034285374219897205,-0.008722866739581402,-0.015176375214780283,-0.0005316712165937435,-0.0036951633627021474,-0.008419775605726789,0.0010957576174743485,0.015529844701552985,0.34165658343416566,9,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,0.12353876461235387,1.0,20,29,d5_full_domain_core:protocol_ab,False,False,adverse,tested,not_rejected,complete
