panel_id,endpoint_id,protocol_id,representation,metric_output_id,left_family,right_family,state,pair_count_per_cluster,pair_count_total,oc,strict_agreement_count,strict_incorrect_count,metric_tie_count,downstream_tie_count,double_tie_count,bootstrap_lower,bootstrap_upper
d2_10_a,d2_10,a,native,mse,p08,p09,complete,64,1920,0.6559895833333333,1254,655,0,11,0,0.6208268229166667,0.69140625
d2_10_a,d2_10,a,native,mse,p08,p10,complete,64,1920,0.85078125,1536,189,184,8,3,0.8109309895833333,0.8822916666666667
d2_10_a,d2_10,a,native,mse,p08,p11,complete,64,1920,0.8796875,1686,228,0,6,0,0.8078125,0.9359440104166666
d2_10_a,d2_10,a,native,mse,p08,p12,complete,64,1920,0.9291666666666667,1778,130,0,12,0,0.8638020833333333,0.9708528645833332
d2_10_a,d2_10,a,native,mse,p09,p10,complete,64,1920,0.6372395833333333,1220,693,0,7,0,0.60962890625,0.6635481770833334
d2_10_a,d2_10,a,native,mse,p09,p11,complete,64,1920,0.7302083333333333,1384,500,0,36,0,0.62681640625,0.81875
d2_10_a,d2_10,a,native,mse,p09,p12,complete,64,1920,0.8111979166666666,1533,338,0,49,0,0.7320247395833334,0.8770833333333333
d2_10_a,d2_10,a,native,mse,p10,p11,complete,64,1920,0.8989583333333333,1718,186,0,16,0,0.83125,0.9471354166666667
d2_10_a,d2_10,a,native,mse,p10,p12,complete,64,1920,0.9403645833333333,1799,108,0,13,0,0.8856770833333333,0.9768294270833333
d2_10_a,d2_10,a,native,mse,p11,p12,complete,64,1920,0.5,0,0,1825,0,95,0.5,0.5
d2_10_a,d2_10,a,native,mae,p08,p09,complete,64,1920,0.7221354166666667,1381,528,0,11,0,0.6887955729166667,0.7510416666666667
d2_10_a,d2_10,a,native,mae,p08,p10,complete,64,1920,0.8450520833333334,1617,292,0,11,0,0.8044010416666667,0.8776041666666666
d2_10_a,d2_10,a,native,mae,p08,p11,complete,64,1920,0.8796875,1686,228,0,6,0,0.8078125,0.9359440104166666
d2_10_a,d2_10,a,native,mae,p08,p12,complete,64,1920,0.9291666666666667,1778,130,0,12,0,0.8638020833333333,0.9708528645833332
d2_10_a,d2_10,a,native,mae,p09,p10,complete,64,1920,0.6966145833333334,1334,579,0,7,0,0.6802083333333333,0.7114583333333333
d2_10_a,d2_10,a,native,mae,p09,p11,complete,64,1920,0.7302083333333333,1384,500,0,36,0,0.62681640625,0.81875
d2_10_a,d2_10,a,native,mae,p09,p12,complete,64,1920,0.8111979166666666,1533,338,0,49,0,0.7320247395833334,0.8770833333333333
d2_10_a,d2_10,a,native,mae,p10,p11,complete,64,1920,0.8989583333333333,1718,186,0,16,0,0.83125,0.9471354166666667
d2_10_a,d2_10,a,native,mae,p10,p12,complete,64,1920,0.9403645833333333,1799,108,0,13,0,0.8856770833333333,0.9768294270833333
d2_10_a,d2_10,a,native,mae,p11,p12,complete,64,1920,0.5,0,0,1825,0,95,0.5,0.5
