endpoint_id,analysis_id,representation,perturbation_scope,metric_output_id,outcome,state,delta_a,delta_b,interaction,bootstrap_lower,bootstrap_upper,shared_endpoint_draws
d2_5,native_all5,native,all5,wasserstein_1_cm1,ag,complete,0.07488729587013838,-0.06956536267508787,-0.14445265854522626,-0.1820967435641974,-0.11208409848656326,True
d2_5,native_all5,native,all5,wasserstein_1_cm1,oc,complete,0.03794270833333324,-0.06539062500000026,-0.1033333333333335,-0.12890690104166666,-0.07721354166666666,True
d2_5,native_no_axis,native,no_axis,wasserstein_1_cm1,ag,complete,0.10854923321528799,-0.09252246421074861,-0.2010716974260366,-0.27202843432298734,-0.1460956915151336,True
d2_5,native_no_axis,native,no_axis,wasserstein_1_cm1,oc,complete,0.08550347222222199,-0.12100694444444426,-0.20651041666666625,-0.253908420138889,-0.15954644097222226,True
d2_5,common_grid_all5,common_grid,all5,wasserstein_1_cm1,ag,complete,0.12710498306012158,0.07545299571757835,-0.051651987342543226,-0.10191843933047275,-0.011685671993748453,True
d2_5,common_grid_all5,common_grid,all5,wasserstein_1_cm1,oc,complete,0.08020833333333344,0.05885416666666665,-0.021354166666666785,-0.06442708333333333,0.02360416666666667,True
d2_5,common_grid_no_axis,common_grid,no_axis,wasserstein_1_cm1,ag,complete,0.10964208375216054,-0.09107305550014735,-0.20071513925230788,-0.2773292529263574,-0.15025450683077554,True
d2_5,common_grid_no_axis,common_grid,no_axis,wasserstein_1_cm1,oc,complete,0.11163194444444446,-0.12777777777777766,-0.23940972222222212,-0.2925347222222222,-0.18888888888888888,True
d2_10,native_all5,native,all5,wasserstein_1_cm1,ag,complete,0.11366762874804331,-0.061476929824742066,-0.17514455857278538,-0.22114298737146088,-0.13444200073500429,True
d2_10,native_all5,native,all5,wasserstein_1_cm1,oc,complete,0.049348958333333415,-0.06479166666666647,-0.11414062499999988,-0.13974479166666667,-0.08476432291666669,True
d2_10,native_no_axis,native,no_axis,wasserstein_1_cm1,ag,complete,0.17028933266633875,-0.0808984404366328,-0.2511877731029716,-0.33381552399763714,-0.18703762380953193,True
d2_10,native_no_axis,native,no_axis,wasserstein_1_cm1,oc,complete,0.11684027777777783,-0.11736111111111103,-0.23420138888888886,-0.2759592013888889,-0.18671875,True
d2_10,common_grid_all5,common_grid,all5,wasserstein_1_cm1,ag,complete,0.16508152526434575,0.03296663892873197,-0.13211488633561377,-0.18989778311355848,-0.08689620969521439,True
d2_10,common_grid_all5,common_grid,all5,wasserstein_1_cm1,oc,complete,0.08229166666666665,0.061822916666666394,-0.020468750000000258,-0.06276171874999999,0.022239583333333306,True
d2_10,common_grid_no_axis,common_grid,no_axis,wasserstein_1_cm1,ag,complete,0.17250919991677555,-0.08422081865820352,-0.25673001857497907,-0.34890059895406894,-0.1986852165526126,True
d2_10,common_grid_no_axis,common_grid,no_axis,wasserstein_1_cm1,oc,complete,0.1454861111111111,-0.12760416666666663,-0.2730902777777777,-0.3173654513888889,-0.22065972222222222,True
d2_20,native_all5,native,all5,wasserstein_1_cm1,ag,complete,0.126211334894523,-0.04649590134066395,-0.17270723623518694,-0.22069327666859015,-0.1305341007464042,True
