finding_type,panel_id,analysis_id,outcome,point_effect,lower_95,upper_95,holm_adjusted_p,status,note
panel_effect,d1_a,native_all5,AG,0.09877147421468865,0.05927664176439863,0.13209836381950693,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d1_a,native_all5,OC,0.06200520833333345,0.03541601562500001,0.08661458333333331,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d1_a,native_no_axis,AG,0.15989026684200625,0.09422948705891913,0.23193516235086423,0.013499865001349988,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d1_a,native_no_axis,OC,0.13177083333333328,0.08298394097222225,0.17649522569444437,0.0015999840001599986,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d1_a,common_grid_all5,AG,0.14031671802671936,0.07332095170753147,0.19698002479464835,0.01975980240197598,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d1_a,common_grid_all5,OC,0.08104166666666646,0.04400130208333334,0.11344140624999997,0.006819931800681993,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d1_a,common_grid_no_axis,AG,0.16271053108210964,0.09852256173159053,0.23589875601416754,0.013749862501374985,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d1_a,common_grid_no_axis,OC,0.15503472222222237,0.09947916666666669,0.2031293402777778,0.0009199908000919991,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_a,native_all5,AG,0.07488729587013838,0.04800918774988762,0.09661065423743882,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_a,native_all5,OC,0.03794270833333324,0.01538606770833334,0.06078515624999999,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_a,native_no_axis,AG,0.10854923321528799,0.0685129088321241,0.1428213530931883,0.0028799712002879974,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_a,native_no_axis,OC,0.08550347222222199,0.04348958333333337,0.12960069444444447,0.013499865001349988,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_a,common_grid_all5,AG,0.12710498306012158,0.09042184946572371,0.15726503487862156,0.0033999660003399966,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_a,common_grid_all5,OC,0.08020833333333344,0.041714843750000015,0.11677213541666666,0.011999880001199987,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_a,common_grid_no_axis,AG,0.10964208375216054,0.07041780705383792,0.14705045957263044,0.0033999660003399966,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_a,common_grid_no_axis,OC,0.11163194444444446,0.06753472222222223,0.15815972222222216,0.0022199778002219978,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_b,native_all5,AG,-0.06956536267508787,-0.09817681331101122,-0.05005117318174315,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_b,native_all5,OC,-0.06539062500000026,-0.08130208333333333,-0.047108723958333334,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_b,native_no_axis,AG,-0.09252246421074861,-0.14620759506970435,-0.060800423830751,0.013749862501374985,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_b,native_no_axis,OC,-0.12100694444444426,-0.1573849826388889,-0.0816818576388889,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_b,common_grid_all5,AG,0.07545299571757835,0.03121189764569183,0.10723315457930734,0.05363946360536395,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_b,common_grid_all5,OC,0.05885416666666665,0.03759765625000001,0.07677343749999997,0.0009199908000919991,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_b,common_grid_no_axis,AG,-0.09107305550014735,-0.14822194849348722,-0.06166141092660347,0.017799822001779982,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_5_b,common_grid_no_axis,OC,-0.12777777777777766,-0.1680598958333333,-0.08610677083333335,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_a,native_all5,AG,0.11366762874804331,0.08318861043127083,0.1411335990097045,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_a,native_all5,OC,0.049348958333333415,0.027080729166666696,0.07072916666666668,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_a,native_no_axis,AG,0.17028933266633875,0.12150569887071554,0.2188003335995571,0.0009199908000919991,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_a,native_no_axis,OC,0.11684027777777783,0.07299696180555554,0.1590299479166667,0.0009199908000919991,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_a,common_grid_all5,AG,0.16508152526434575,0.12191250143322604,0.2059470135895061,0.0015999840001599986,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_a,common_grid_all5,OC,0.08229166666666665,0.041979166666666665,0.11906380208333331,0.012319876801231987,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_a,common_grid_no_axis,AG,0.17250919991677555,0.1256172991966935,0.22408593248648417,0.0009199908000919991,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_a,common_grid_no_axis,OC,0.1454861111111111,0.09930121527777776,0.18819878472222226,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_b,native_all5,AG,-0.061476929824742066,-0.08873892406422768,-0.04051472795202866,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_b,native_all5,OC,-0.06479166666666647,-0.07791861979166664,-0.05054557291666666,,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_b,native_no_axis,AG,-0.0808984404366328,-0.12421224026052499,-0.049967088036799556,0.014959850401495986,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_b,native_no_axis,OC,-0.11736111111111103,-0.14288194444444444,-0.09018663194444448,0.0006599934000659994,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
panel_effect,d2_10_b,common_grid_all5,AG,0.03296663892873197,-0.005793046682685629,0.056368877244983906,0.6864131358686414,complete,positive favors W1; intervals are paired cluster-bootstrap 95%
