panel_id,endpoint_id,protocol_id,representation,metric_output_id,left_family,right_family,state,pair_count_per_cluster,pair_count_total,oc,strict_agreement_count,strict_incorrect_count,metric_tie_count,downstream_tie_count,double_tie_count,bootstrap_lower,bootstrap_upper
d1_a,d1,a,native,mse,p08,p09,complete,64,1920,0.6390625,1217,683,0,20,0,0.6036458333333333,0.67265625
d1_a,d1,a,native,mse,p08,p10,complete,64,1920,0.8109375,1458,264,184,11,3,0.7692708333333333,0.8455794270833333
d1_a,d1,a,native,mse,p08,p11,complete,64,1920,0.83984375,1600,295,0,25,0,0.7494335937500001,0.9106770833333333
d1_a,d1,a,native,mse,p08,p12,complete,64,1920,0.9109375,1736,158,0,26,0,0.8270833333333333,0.9703190104166667
d1_a,d1,a,native,mse,p09,p10,complete,64,1920,0.6296875,1205,707,0,8,0,0.6005208333333333,0.6598958333333333
d1_a,d1,a,native,mse,p09,p11,complete,64,1920,0.68203125,1289,590,0,41,0,0.5791666666666667,0.77474609375
d1_a,d1,a,native,mse,p09,p12,complete,64,1920,0.8388020833333333,1590,289,0,41,0,0.7713541666666667,0.8940169270833334
d1_a,d1,a,native,mse,p10,p11,complete,64,1920,0.88359375,1686,213,0,21,0,0.8210807291666666,0.9291666666666667
d1_a,d1,a,native,mse,p10,p12,complete,64,1920,0.9549479166666667,1825,78,0,17,0,0.91978515625,0.9802083333333333
d1_a,d1,a,native,mse,p11,p12,complete,64,1920,0.5,0,0,1785,0,135,0.5,0.5
d1_a,d1,a,native,rmse,p08,p09,complete,64,1920,0.6432291666666666,1225,675,0,20,0,0.6078125,0.6765690104166666
d1_a,d1,a,native,rmse,p08,p10,complete,64,1920,0.8130208333333333,1460,258,188,10,4,0.7703059895833333,0.8492252604166667
d1_a,d1,a,native,rmse,p08,p11,complete,64,1920,0.83984375,1600,295,0,25,0,0.7494335937500001,0.9106770833333333
d1_a,d1,a,native,rmse,p08,p12,complete,64,1920,0.9109375,1736,158,0,26,0,0.8270833333333333,0.9703190104166667
d1_a,d1,a,native,rmse,p09,p10,complete,64,1920,0.6328125,1211,701,0,8,0,0.6020833333333333,0.6630208333333333
d1_a,d1,a,native,rmse,p09,p11,complete,64,1920,0.68203125,1289,590,0,41,0,0.5791666666666667,0.77474609375
d1_a,d1,a,native,rmse,p09,p12,complete,64,1920,0.8388020833333333,1590,289,0,41,0,0.7713541666666667,0.8940169270833334
d1_a,d1,a,native,rmse,p10,p11,complete,64,1920,0.88359375,1686,213,0,21,0,0.8210807291666666,0.9291666666666667
d1_a,d1,a,native,rmse,p10,p12,complete,64,1920,0.9549479166666667,1825,78,0,17,0,0.91978515625,0.9802083333333333
d1_a,d1,a,native,rmse,p11,p12,complete,64,1920,0.5,0,0,1785,0,135,0.5,0.5
