panel_id,endpoint_id,protocol_id,component,positive_harm_share,positive_harm_share_lower,positive_harm_share_upper,positive_denominator_state,absolute_harm_share,absolute_harm_share_lower,absolute_harm_share_upper,absolute_denominator_state
d1_a,d1,a,p08,0.3560020112690219,0.3326557648834472,0.37832904104636755,complete,0.35143847784973353,0.3292342779884545,0.37287654936998227,complete
d1_a,d1,a,p09,0.14213460713704726,0.1265489468599709,0.15608888688963865,complete,0.13848214797409594,0.12401125511122266,0.15034076400910668,complete
d1_a,d1,a,p10,0.3789837175941672,0.3562867446880688,0.40273392234578975,complete,0.36773597340821823,0.3468505189665945,0.388321235528657,complete
d1_a,d1,a,p11,0.09591978585900413,0.06106024481533951,0.1328040764631538,complete,0.10816522436815865,0.07786437696764312,0.14053219164066072,complete
d1_a,d1,a,p12,0.02695987814075925,0.014209865826731068,0.04325093924340842,complete,0.03417817639979368,0.022729661241158553,0.04874935763276939,complete
d1_a,d1,a,axis_p11_p12,0.12287966399976338,0.0763737815577818,0.17329703770032634,complete,0.14234340076795232,0.1022638997710166,0.18725398537678323,complete
d2_5_a,d2_5,a,p08,0.3794251216192542,0.3634653581628615,0.3954279836766545,complete,0.3633200220855429,0.34994537614310983,0.37621473690934826,complete
d2_5_a,d2_5,a,p09,0.14902906733866075,0.13413288171267584,0.16194621053310052,complete,0.1432606992899241,0.12925699287623874,0.15484107449859677,complete
d2_5_a,d2_5,a,p10,0.4095705256916463,0.38964301119545947,0.430621705202714,complete,0.3905032165282041,0.3699634694063428,0.4114436247848811,complete
d2_5_a,d2_5,a,p11,0.046154675434932006,0.027847422988891514,0.06877042827819738,complete,0.07186789763607646,0.054939265747807664,0.09161043725883859,complete
d2_5_a,d2_5,a,p12,0.015820609915506628,0.008823629993743006,0.024826951556775945,complete,0.031048164460252436,0.023140294206302127,0.03983405261822,complete
d2_5_a,d2_5,a,axis_p11_p12,0.061975285350438634,0.037083638264145444,0.09314233721986026,complete,0.10291606209632889,0.07871278296180113,0.13015058910708674,complete
d2_5_b,d2_5,b,p08,0.19652191915532322,0.18207710661133417,0.21122876147103764,complete,0.1747935957670027,0.16166032391548812,0.18828956450340753,complete
d2_5_b,d2_5,b,p09,0.3018218518710212,0.2800049059399724,0.3206542677233698,complete,0.27204305980020976,0.25169570884522846,0.28915914328244813,complete
d2_5_b,d2_5,b,p10,0.49416438072563534,0.4739103114195461,0.5174024236452591,complete,0.43934452401587365,0.4135885978012585,0.46553518274668115,complete
d2_5_b,d2_5,b,p11,0.0024714041716267345,0.0007107696126729744,0.0052085852482759544,complete,0.0703484924508507,0.05297778735765988,0.0898579793525156,complete
d2_5_b,d2_5,b,p12,0.005020444076393571,0.0019006959287175766,0.009570141949267957,complete,0.04347032796606304,0.03221401749375902,0.05673283367313392,complete
d2_5_b,d2_5,b,axis_p11_p12,0.007491848248020306,0.002822979570087953,0.014865623985690963,complete,0.11381882041691374,0.08606185066574178,0.14608683558689764,complete
d2_10_a,d2_10,a,p08,0.3821486991142249,0.36491399237714145,0.3981098851331319,complete,0.3673370606713159,0.35179477629782674,0.38142164454881167,complete
d2_10_a,d2_10,a,p09,0.13344238346553092,0.11802226119720137,0.14704715671862498,complete,0.1290080407768141,0.11440946641481124,0.14191341792417686,complete
d2_10_a,d2_10,a,p10,0.4098330298447579,0.39133441763639404,0.42990517984313714,complete,0.39374123318252763,0.37493452728883836,0.4140406040487609,complete
d2_10_a,d2_10,a,p11,0.05688096046418319,0.03475598183683113,0.0824506634939748,complete,0.07941995772171405,0.06014464156593994,0.10207972348457012,complete
d2_10_a,d2_10,a,p12,0.017694927111303146,0.010583725904159106,0.02606773192346109,complete,0.030493707647628272,0.022109700225455775,0.04065508938487543,complete
d2_10_a,d2_10,a,axis_p11_p12,0.07457588757548635,0.04504997074812152,0.10820045220636351,complete,0.10991366536934231,0.08252742594839048,0.14081169011590264,complete
d2_10_b,d2_10,b,p08,0.0932404701200174,0.07590285329193774,0.11133111984006525,complete,0.08597775666461743,0.07138618011860472,0.10119329736445404,complete
d2_10_b,d2_10,b,p09,0.3204402711274175,0.2974159159798987,0.33850260370577706,complete,0.29820600234728667,0.2798057514554666,0.31332455784975954,complete
d2_10_b,d2_10,b,p10,0.5775387102792116,0.5554311264571119,0.6031698668957194,complete,0.5210082155032694,0.49345660775292194,0.5510485427599122,complete
d2_10_b,d2_10,b,p11,0.0036564890243143988,5.09646107040046e-05,0.01061397688753153,complete,0.05669256133683564,0.04518699704889082,0.06963154091633247,complete
